Phenylpropanoids,Cardenolides
4.7,13.8
5.0,16.0
8.8,19.1
13.1,22.1
4.7,6.4
8.8,13.8
13.1,15.9
4.7,19.2
8.8,6.4
13.2,15.9
4.7,19.2
8.8,6.5
13.2,16.0
4.7,19.3
8.8,6.5
4.7,15.9
8.8,19.2
13.1,19.1
4.6,20.2
8.8,21.9
4.7,6.4
8.8,19.2
4.7,15.9
13.2,6.4
4.7,15.9
6.5,19.2
8.8,6.4
13.1,15.9
17.7,19.2
4.6,6.5
8.8,15.9
13.2,19.2
20.7,15.9
4.7,15.9
8.8,19.2
13.2,6.4
20.7,15.9
4.7,19.2
13.2,19.3
4.7,15.9
5.0,19.2
8.8,16.0
4.7,19.2
13.2,20.2
17.7,22.2
4.7,16.0
4.9,19.3
8.8,6.4
4.7,13.8
4.9,15.9
8.8,19.2
20.6,6.4
13.1,15.8
4.7,19.2
8.8,21.3
4.6,22.1
8.7,15.9
4.6,19.2
8.8,6.4
15.1,13.8
4.6,15.7
13.1,15.7
4.6,19.2
13.1,6.4
4.6,15.8
4.9,19.2
8.8,6.4
20.6,15.8
4.6,19.2
8.7,15.9
13.1,19.2
14.6,15.9
4.6,19.2
13.0,15.9
4.6,19.2
8.7,15.9
13.0,16.2
4.6,19.1
13.1,6.4
4.6,15.8
13.0,15.7
,19.1
,6.4
,15.9
,19.1
,15.8
,19.1